"","country","iso3","Year","Month","date","cases","source"
"1","Afghanistan","AFG",2025,1,2025-01-01,71,"WHO"
"2","Afghanistan","AFG",2025,2,2025-02-01,26,"WHO"
"3","Afghanistan","AFG",2025,3,2025-03-01,18,"WHO"
"4","Afghanistan","AFG",2025,4,2025-04-01,131,"WHO"
"5","Afghanistan","AFG",2025,5,2025-05-01,216,"WHO"
"6","Afghanistan","AFG",2025,6,2025-06-01,166,"WHO"
"7","Afghanistan","AFG",2025,7,2025-07-01,339,"WHO"
"8","Afghanistan","AFG",2025,8,2025-08-01,273,"WHO"
"9","Afghanistan","AFG",2025,9,2025-09-01,297,"WHO"
"10","Afghanistan","AFG",2025,10,2025-10-01,1826,"WHO"
"11","Afghanistan","AFG",2025,11,2025-11-01,1021,"WHO"
"12","Afghanistan","AFG",2025,12,2025-12-01,NA,NA
"13","Afghanistan","AFG",2026,1,2026-01-01,NA,NA
"14","Afghanistan","AFG",2026,2,2026-02-01,NA,NA
"15","Afghanistan","AFG",2026,3,2026-03-01,NA,NA
"16","Afghanistan","AFG",2026,4,2026-04-01,NA,NA
"17","Afghanistan","AFG",2026,5,2026-05-01,NA,NA
"18","Afghanistan","AFG",2026,6,2026-06-01,NA,NA
"19","Afghanistan","AFG",2026,7,2026-07-01,NA,NA
"20","Afghanistan","AFG",2026,8,2026-08-01,NA,NA
"21","Afghanistan","AFG",2026,9,2026-09-01,NA,NA
"22","Afghanistan","AFG",2026,10,2026-10-01,NA,NA
"23","Afghanistan","AFG",2026,11,2026-11-01,NA,NA
"24","Afghanistan","AFG",2026,12,2026-12-01,NA,NA
"25","Albania","ALB",2025,1,2025-01-01,0,"WHO"
"26","Albania","ALB",2025,2,2025-02-01,0,"WHO"
"27","Albania","ALB",2025,3,2025-03-01,0,"WHO"
"28","Albania","ALB",2025,4,2025-04-01,0,"WHO"
"29","Albania","ALB",2025,5,2025-05-01,0,"WHO"
"30","Albania","ALB",2025,6,2025-06-01,0,"WHO"
"31","Albania","ALB",2025,7,2025-07-01,0,"WHO"
"32","Albania","ALB",2025,8,2025-08-01,0,"WHO"
"33","Albania","ALB",2025,9,2025-09-01,0,"WHO"
"34","Albania","ALB",2025,10,2025-10-01,0,"WHO"
"35","Albania","ALB",2025,11,2025-11-01,NA,NA
"36","Albania","ALB",2025,12,2025-12-01,NA,NA
"37","Albania","ALB",2026,1,2026-01-01,NA,NA
"38","Albania","ALB",2026,2,2026-02-01,NA,NA
"39","Albania","ALB",2026,3,2026-03-01,NA,NA
"40","Albania","ALB",2026,4,2026-04-01,NA,NA
"41","Albania","ALB",2026,5,2026-05-01,NA,NA
"42","Albania","ALB",2026,6,2026-06-01,NA,NA
"43","Albania","ALB",2026,7,2026-07-01,NA,NA
"44","Albania","ALB",2026,8,2026-08-01,NA,NA
"45","Albania","ALB",2026,9,2026-09-01,NA,NA
"46","Albania","ALB",2026,10,2026-10-01,NA,NA
"47","Albania","ALB",2026,11,2026-11-01,NA,NA
"48","Albania","ALB",2026,12,2026-12-01,NA,NA
"49","Andorra","AND",2025,1,2025-01-01,0,"WHO"
"50","Andorra","AND",2025,2,2025-02-01,0,"WHO"
"51","Andorra","AND",2025,3,2025-03-01,0,"WHO"
